machine_id,machine_type,manufacturer,model,install_date,age_years,location_zone,criticality,maintenance_contract,last_major_overhaul,planned_replacement_year
M-001,PRESS,Siemens,PRESS-1409,2020-12-09,6,B,MEDIUM,NONE,2022-10,2041
M-002,PRESS,Siemens,PRESS-2535,2010-04-08,16,A,MEDIUM,NONE,2025-04,2032
M-003,PRESS,Schneider,PRESS-1106,2019-03-23,7,D,LOW,PARTIAL,2022-02,2040
M-004,PRESS,Schneider,PRESS-6635,2011-10-09,15,A,HIGH,NONE,2022-07,2027
M-005,PRESS,Schneider,PRESS-6925,2018-10-07,8,A,LOW,PARTIAL,2022-04,2034
M-006,PRESS,Schneider,PRESS-8428,2016-11-27,10,C,LOW,NONE,2024-12,2041
M-007,PRESS,Siemens,PRESS-3803,2020-09-24,6,B,LOW,NONE,2023-11,2040
M-008,PRESS,Siemens,PRESS-4752,2023-01-26,3,C,LOW,NONE,2024-04,2048
M-009,PRESS,Fanuc,PRESS-8517,2017-03-09,9,B,MEDIUM,PARTIAL,2025-10,2038
M-010,PRESS,ABB,PRESS-3266,2015-09-16,11,A,HIGH,FULL,2023-11,2032
M-011,PRESS,Fanuc,PRESS-2040,2022-07-13,4,D,MEDIUM,FULL,2022-11,2045
M-012,PRESS,Schneider,PRESS-6573,2022-02-10,4,D,LOW,NONE,2024-09,2039
M-013,PRESS,Siemens,PRESS-5889,2018-11-17,8,B,MEDIUM,NONE,2022-10,2038
M-014,PRESS,Siemens,PRESS-2832,2017-06-27,9,C,LOW,NONE,2022-02,2039
M-015,PRESS,Siemens,PRESS-9727,2023-03-05,3,D,HIGH,FULL,2024-09,2047
M-016,PRESS,ABB,PRESS-9835,2016-12-23,10,B,HIGH,PARTIAL,2024-08,2039
M-017,PRESS,Siemens,PRESS-5061,2017-04-03,9,C,MEDIUM,NONE,2023-01,2033
M-018,PRESS,Siemens,PRESS-4750,2021-02-02,5,C,LOW,NONE,2025-04,2044
M-019,PRESS,KUKA,PRESS-8744,2012-04-26,14,D,HIGH,FULL,2022-02,2037
M-020,PRESS,Schneider,PRESS-7939,2016-07-15,10,A,MEDIUM,FULL,2022-07,2036
M-021,PRESS,Siemens,PRESS-5073,2022-04-07,4,D,LOW,PARTIAL,2023-02,2044
M-022,PRESS,KUKA,PRESS-2604,2022-01-21,4,A,HIGH,FULL,2023-07,2044
M-023,PRESS,ABB,PRESS-7570,2017-01-06,9,D,LOW,PARTIAL,2024-07,2040
M-024,PRESS,Fanuc,PRESS-3536,2020-04-10,6,B,HIGH,NONE,2022-12,2040
M-025,PRESS,Siemens,PRESS-8811,2010-09-28,16,B,MEDIUM,FULL,2022-10,2026
M-026,PRESS,ABB,PRESS-7615,2020-02-19,6,B,LOW,FULL,2025-11,2044
M-027,PRESS,KUKA,PRESS-6183,2019-05-07,7,C,LOW,NONE,2024-08,2039
M-028,PRESS,Siemens,PRESS-1152,2022-08-20,4,A,LOW,PARTIAL,2023-06,2038
M-029,PRESS,Schneider,PRESS-5669,2013-03-15,13,C,MEDIUM,NONE,2022-11,2036
M-030,PRESS,Siemens,PRESS-3200,2014-05-04,12,A,HIGH,FULL,2024-05,2038
M-031,CNC,Schneider,CNC-4335,2013-11-21,13,C,LOW,FULL,2022-11,2034
M-032,CNC,Schneider,CNC-1722,2023-01-11,3,B,LOW,NONE,2025-09,2044
M-033,CNC,Siemens,CNC-2832,2018-02-23,8,B,MEDIUM,NONE,2023-07,2035
M-034,CNC,Schneider,CNC-6974,2010-01-12,16,B,MEDIUM,PARTIAL,2025-10,2027
M-035,CNC,ABB,CNC-3900,2013-07-01,13,B,HIGH,PARTIAL,2025-11,2031
M-036,CNC,ABB,CNC-2771,2014-07-28,12,A,HIGH,FULL,2023-08,2034
M-037,CNC,ABB,CNC-4652,2014-01-22,12,B,LOW,FULL,2024-06,2039
M-038,CNC,Fanuc,CNC-9785,2018-06-01,8,A,HIGH,PARTIAL,2023-10,2037
M-039,CNC,Siemens,CNC-8119,2010-06-24,16,C,MEDIUM,FULL,2025-10,2028
M-040,CNC,Siemens,CNC-8144,2014-01-17,12,B,LOW,NONE,2024-10,2034
M-041,CNC,Siemens,CNC-5920,2020-09-10,6,D,MEDIUM,NONE,2023-04,2041
M-042,CNC,Fanuc,CNC-3851,2020-10-19,6,C,MEDIUM,PARTIAL,2024-04,2041
M-043,CNC,KUKA,CNC-6279,2022-08-15,4,D,MEDIUM,NONE,2023-11,2038
M-044,CNC,KUKA,CNC-6491,2014-02-27,12,B,LOW,FULL,2023-01,2029
M-045,CNC,Fanuc,CNC-2193,2013-08-14,13,B,HIGH,PARTIAL,2025-07,2031
M-046,CNC,Siemens,CNC-2746,2012-07-08,14,B,HIGH,NONE,2025-01,2035
M-047,CNC,Siemens,CNC-8478,2013-03-26,13,D,MEDIUM,NONE,2024-08,2037
M-048,CNC,KUKA,CNC-7991,2023-09-15,3,B,HIGH,PARTIAL,2025-05,2041
M-049,CNC,Schneider,CNC-9540,2023-08-21,3,B,LOW,PARTIAL,2023-05,2043
M-050,CNC,KUKA,CNC-2320,2015-03-05,11,B,LOW,FULL,2022-07,2036
M-051,CNC,KUKA,CNC-8633,2015-07-02,11,B,HIGH,PARTIAL,2022-10,2036
M-052,CNC,Siemens,CNC-6763,2017-05-25,9,D,HIGH,PARTIAL,2023-08,2035
M-053,CNC,Fanuc,CNC-8956,2014-01-13,12,C,MEDIUM,NONE,2023-08,2031
M-054,CNC,KUKA,CNC-1441,2019-07-19,7,A,LOW,PARTIAL,2023-01,2038
M-055,CNC,Schneider,CNC-4467,2016-08-11,10,C,HIGH,PARTIAL,2024-07,2035
M-056,CNC,Siemens,CNC-8705,2023-01-24,3,A,HIGH,PARTIAL,2023-11,2039
M-057,CNC,Siemens,CNC-1508,2022-04-07,4,A,LOW,PARTIAL,2022-10,2040
M-058,CNC,Schneider,CNC-7043,2017-03-20,9,A,HIGH,FULL,2024-02,2041
M-059,CNC,Schneider,CNC-7149,2010-07-23,16,B,MEDIUM,NONE,2023-02,2029
M-060,CNC,KUKA,CNC-2983,2023-10-26,3,A,LOW,PARTIAL,2022-09,2048
M-061,CNC,Siemens,CNC-7882,2015-08-04,11,D,HIGH,NONE,2025-12,2032
M-062,CNC,ABB,CNC-9548,2016-11-09,10,D,MEDIUM,NONE,2024-06,2034
M-063,CNC,Siemens,CNC-5569,2023-08-08,3,D,MEDIUM,PARTIAL,2022-08,2043
M-064,CNC,Fanuc,CNC-4475,2012-06-26,14,C,MEDIUM,NONE,2024-09,2027
M-065,CNC,ABB,CNC-2402,2018-04-24,8,D,MEDIUM,NONE,2025-11,2040
M-066,ROBOT,Siemens,ROBOT-2524,2017-05-08,9,D,LOW,NONE,2024-08,2040
M-067,ROBOT,Schneider,ROBOT-7971,2018-12-18,8,C,LOW,PARTIAL,2024-04,2034
M-068,ROBOT,ABB,ROBOT-6169,2021-02-24,5,B,MEDIUM,PARTIAL,2024-02,2039
M-069,ROBOT,ABB,ROBOT-6912,2014-03-10,12,A,HIGH,FULL,2024-01,2029
M-070,ROBOT,Schneider,ROBOT-3068,2018-11-28,8,D,LOW,PARTIAL,2025-08,2040
M-071,ROBOT,ABB,ROBOT-1841,2015-05-28,11,D,LOW,PARTIAL,2022-10,2040
M-072,ROBOT,Siemens,ROBOT-3485,2020-03-26,6,C,LOW,NONE,2025-10,2044
M-073,ROBOT,KUKA,ROBOT-4697,2022-09-13,4,D,HIGH,PARTIAL,2025-05,2046
M-074,ROBOT,Siemens,ROBOT-2625,2019-04-21,7,B,LOW,FULL,2023-09,2035
M-075,ROBOT,Siemens,ROBOT-7693,2012-08-23,14,D,LOW,NONE,2024-12,2034
M-076,ROBOT,ABB,ROBOT-5334,2011-11-19,15,B,MEDIUM,NONE,2023-05,2028
M-077,ROBOT,Siemens,ROBOT-3718,2011-05-20,15,C,LOW,PARTIAL,2025-05,2034
M-078,ROBOT,Fanuc,ROBOT-8172,2018-02-20,8,A,HIGH,NONE,2024-10,2037
M-079,ROBOT,Siemens,ROBOT-4750,2010-11-27,16,A,HIGH,NONE,2024-10,2025
M-080,ROBOT,ABB,ROBOT-8708,2022-09-21,4,D,HIGH,FULL,2025-11,2044
M-081,ROBOT,Fanuc,ROBOT-6700,2011-07-11,15,C,MEDIUM,PARTIAL,2025-12,2033
M-082,ROBOT,Fanuc,ROBOT-1601,2014-08-03,12,C,LOW,PARTIAL,2022-11,2037
M-083,ROBOT,Fanuc,ROBOT-1888,2017-04-17,9,C,LOW,PARTIAL,2022-04,2036
M-084,ROBOT,ABB,ROBOT-5719,2018-08-23,8,D,MEDIUM,NONE,2023-12,2035
M-085,ROBOT,KUKA,ROBOT-1224,2014-09-14,12,A,MEDIUM,FULL,2025-02,2039
M-086,ROBOT,ABB,ROBOT-9165,2023-12-10,3,C,LOW,PARTIAL,2023-08,2046
M-087,ROBOT,Fanuc,ROBOT-4122,2012-10-17,14,B,HIGH,PARTIAL,2025-06,2035
M-088,ROBOT,Siemens,ROBOT-5634,2014-12-10,12,D,HIGH,PARTIAL,2025-06,2034
M-089,ROBOT,KUKA,ROBOT-7180,2018-08-11,8,B,HIGH,FULL,2025-04,2039
M-090,ROBOT,Schneider,ROBOT-8749,2010-12-26,16,D,MEDIUM,NONE,2023-08,2025
M-091,ASSEMBLY,KUKA,ASSEMBLY-6439,2012-02-28,14,D,MEDIUM,FULL,2023-07,2037
M-092,ASSEMBLY,Siemens,ASSEMBLY-8692,2012-05-11,14,D,MEDIUM,NONE,2025-06,2037
M-093,ASSEMBLY,Fanuc,ASSEMBLY-9864,2021-01-20,5,A,MEDIUM,PARTIAL,2023-12,2037
M-094,ASSEMBLY,Siemens,ASSEMBLY-2646,2016-08-06,10,C,HIGH,FULL,2024-01,2035
M-095,ASSEMBLY,Schneider,ASSEMBLY-8056,2015-03-08,11,D,MEDIUM,FULL,2023-02,2039
M-096,ASSEMBLY,Fanuc,ASSEMBLY-4945,2023-08-19,3,B,MEDIUM,PARTIAL,2024-11,2038
M-097,ASSEMBLY,Fanuc,ASSEMBLY-5712,2022-11-18,4,B,MEDIUM,NONE,2024-11,2043
M-098,ASSEMBLY,Schneider,ASSEMBLY-8484,2021-05-07,5,D,HIGH,FULL,2023-07,2045
M-099,ASSEMBLY,KUKA,ASSEMBLY-5847,2015-12-10,11,A,HIGH,NONE,2025-05,2030
M-100,ASSEMBLY,Siemens,ASSEMBLY-9138,2019-05-25,7,B,LOW,NONE,2023-10,2038
M-101,ASSEMBLY,ABB,ASSEMBLY-2591,2020-11-21,6,A,LOW,NONE,2024-12,2037
M-102,ASSEMBLY,Schneider,ASSEMBLY-6352,2011-12-14,15,B,MEDIUM,PARTIAL,2024-03,2030
M-103,ASSEMBLY,Fanuc,ASSEMBLY-5835,2023-12-28,3,C,HIGH,PARTIAL,2022-03,2041
M-104,ASSEMBLY,Fanuc,ASSEMBLY-6992,2023-02-26,3,D,MEDIUM,PARTIAL,2024-11,2048
M-105,ASSEMBLY,KUKA,ASSEMBLY-7242,2014-11-12,12,A,LOW,NONE,2024-10,2032
M-106,ASSEMBLY,Siemens,ASSEMBLY-8606,2020-12-10,6,D,LOW,FULL,2024-08,2036
M-107,ASSEMBLY,ABB,ASSEMBLY-9807,2011-03-13,15,D,MEDIUM,NONE,2025-10,2028
M-108,ASSEMBLY,Siemens,ASSEMBLY-9017,2016-10-14,10,C,LOW,PARTIAL,2025-04,2036
M-109,ASSEMBLY,Schneider,ASSEMBLY-9920,2011-11-12,15,A,LOW,FULL,2025-02,2036
M-110,ASSEMBLY,KUKA,ASSEMBLY-1349,2013-01-26,13,C,LOW,NONE,2023-02,2036
M-111,ASSEMBLY,KUKA,ASSEMBLY-4538,2013-04-11,13,B,HIGH,NONE,2022-05,2030
M-112,ASSEMBLY,KUKA,ASSEMBLY-5106,2012-03-04,14,A,LOW,FULL,2024-01,2029
M-113,ASSEMBLY,Siemens,ASSEMBLY-3076,2014-12-14,12,A,HIGH,PARTIAL,2025-06,2037
M-114,ASSEMBLY,Siemens,ASSEMBLY-8405,2019-09-08,7,A,HIGH,NONE,2024-08,2044
M-115,ASSEMBLY,Siemens,ASSEMBLY-8847,2010-07-14,16,A,MEDIUM,FULL,2022-06,2034
M-116,ASSEMBLY,Siemens,ASSEMBLY-3067,2012-05-20,14,C,MEDIUM,PARTIAL,2025-09,2036
M-117,ASSEMBLY,Siemens,ASSEMBLY-2874,2016-11-21,10,B,MEDIUM,PARTIAL,2024-08,2037
M-118,ASSEMBLY,Siemens,ASSEMBLY-6120,2016-07-11,10,C,LOW,PARTIAL,2022-02,2032
M-119,ASSEMBLY,Fanuc,ASSEMBLY-2582,2011-12-24,15,C,HIGH,NONE,2022-10,2034
M-120,ASSEMBLY,Schneider,ASSEMBLY-3002,2018-07-12,8,D,HIGH,NONE,2022-05,2042
